Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,year,month,day
2004-10-03,0.93913327336434,0.4739947949444275,0.9429827612549412,2.2112355435871613,11.9,0.4422965461502871,-0.010166149235445109,0.8106490932282691,0.43212432665559714,0.6432575048466997,0.641101208988286,0.0884987087387452,0.183946269439384,0.19488128655650502,-0.5621687960694202,1.0552039749539999,-1.4541608842584015
2004-10-03,1.0835832526336653,0.46627314611980963,0.73680662439452,1.9393829266152163,9.4,0.17645949228271268,-0.25490227366684787,1.177135643526273,0.26668359145690945,0.35857380353664786,-0.0067234385492091955,0.08144597632108187,0.16014881883720308,0.19405442564697314,-0.5621687960694202,1.0552039749539999,-1.4541608842584015
2004-10-03,1.2280332319029905,0.468838645077826,1.070326845786378,1.7676865369487245,9.0,0.12971891138291938,-0.14613066280844667,1.071537823948882,0.4400024569031537,0.3500118877077741,0.2165134332373601,0.04907574291693483,0.2834074091356786,0.19468083542692152,-0.5621687960694202,1.0552039749539999,-1.4541608842584015
2004-10-03,1.3724832111723158,0.468838645077826,0.9914947934573933,1.710454407059894,9.2,0.15601048813905313,0.013142053091355157,0.9224585492513889,0.5030274988836061,0.4120857774671087,0.4988424181439036,0.028279224249466054,0.4005640890233384,0.19562045009684412,-0.5621687960694202,1.0552039749539999,-1.4541608842584015
2004-10-03,1.5169331904416408,0.4611169962532082,0.6761665841414549,1.5029879362128833,6.5,-0.1711735781595,-0.14613066280844667,1.2734160084350705,0.4557587173982668,0.21088075548857577,0.2953029173973257,0.032981045861241606,0.3926316054892781,0.19567056287923998,-0.5621687960694202,1.0552039749539999,-1.4541608842584015
2004-10-03,1.661383169710966,0.4559734223618911,0.4487664331924609,1.4099857251435337,4.7,-0.42240420049588895,-0.3092880790960485,1.6833840138531766,0.2981961124471357,0.0032542966383874846,-0.05706116454029835,0.032981045861241606,0.3846991219552178,0.19557033731444823,-0.5621687960694202,1.0552039749539999,-1.4541608842584015
2004-11-03,-1.6609663534835137,0.4559734223618911,0.41238240904062184,1.359907611490807,3.6,-0.5976813788701139,-0.4141749895666497,2.0716112917112315,0.14851163774356108,-0.12517444079471868,-0.5297980695000921,0.03515111737436878,0.33832460283301913,0.19494392753449985,-0.5621687960694202,1.3437522125378614,-1.4541608842584015
2004-11-03,-1.5165163742141885,0.45339534742859033,0.26381431042061243,1.359907611490807,3.3,-0.6502645323823814,-0.4141749895666497,2.0436589277054518,0.14063350749600453,-0.12517444079471868,-0.5363638598467559,0.02140733112456333,0.4005640890233384,0.1951944914464792,-0.5621687960694202,1.3437522125378614,-1.4541608842584015
2004-11-03,-1.3720663949448633,0.45210630996193996,0.1364702258891758,1.3098294978380802,2.3,-0.8343055696753174,-0.48021489615925045,2.434992023786371,0.014583423535099614,-0.24718174135616952,-0.7771095058910954,0.02140733112456333,0.3944621786125228,0.19505668129489057,-0.5621687960694202,1.3437522125378614,-1.4541608842584015
2004-11-03,-1.2276164156755383,0.448245485549631,-0.1182179431736975,1.2740594166575612,1.7,-0.9745273123746974,-1.4319664911702614,2.8263251198672905,-2.033730440829605,-0.33494137860212536,-1.0375525229754263,0.012003687901012233,0.4042252352698278,0.19471842001371842,-0.5621687960694202,1.3437522125378614,-1.4541608842584015
